A	B
485.831	-0.70415
485.8315	-0.71951
485.832	-0.74634
485.8325	-0.76919
485.833	-0.80395
485.8335	-0.80073
485.834	-0.82241
485.8345	-0.84938
485.835	-0.86019
485.8355	-0.89899
485.836	-0.91168
485.8365	-0.92563
485.837	-0.94352
485.8375	-0.96506
485.838	-0.97261
485.8385	-0.98886
485.839	-0.98251
485.8395	-0.97756
485.84	-0.98126
485.8405	-0.98626
485.841	-0.97108
485.8415	-0.96916
485.842	-0.97333
485.8425	-0.96345
485.843	-0.95163
485.8435	-0.90716
485.844	-0.9108
485.8445	-0.89073
485.845	-0.9055
485.8455	-0.8935
485.846	-0.86521
485.8465	-0.84164
485.847	-0.81334
485.8475	-0.79285
485.848	-0.75929
485.8485	-0.74968
485.849	-0.71652
485.8495	-0.70394
485.85	-0.68172
485.8505	-0.66037
485.851	-0.64081
485.8515	-0.62139
485.852	-0.60899
485.8525	-0.57875
485.853	-0.57234
485.8535	-0.523
485.854	-0.52245
485.8545	-0.51393
485.855	-0.47982
485.8555	-0.47052
485.856	-0.46939
485.8565	-0.43578
485.857	-0.4337
485.8575	-0.41541
485.858	-0.39754
485.8585	-0.39435
485.859	-0.37082
485.8595	-0.3651
485.86	-0.3617
485.8605	-0.34835
485.861	-0.34323
485.8615	-0.33286
485.862	-0.32309
485.8625	-0.31044
485.863	-0.30549
485.8635	-0.30003
485.864	-0.2924
485.8645	-0.28444
485.865	-0.27989
485.8655	-0.27142
485.866	-0.26777
485.8665	-0.26924
485.867	-0.25795
485.8675	-0.25694
485.868	-0.2531
485.8685	-0.24542
485.869	-0.24425
485.8695	-0.23867
485.87	-0.23673
485.8705	-0.2336
485.871	-0.23074
485.8715	-0.2284
485.872	-0.22619
485.8725	-0.22288
485.873	-0.22147
485.8735	-0.21932
485.874	-0.21593
485.8745	-0.21687
485.875	-0.21301
485.8755	-0.21223
485.876	-0.21088
485.8765	-0.20989
485.877	-0.20916
485.8775	-0.20489
485.878	-0.20684
485.8785	-0.205
485.879	-0.20502
485.8795	-0.205
485.88	-0.20301
485.8805	-0.20419
485.881	-0.20179
485.8815	-0.20278
485.882	-0.20103
485.8825	-0.20245
485.883	-0.20023
485.8835	-0.20005
485.884	-0.19926
485.8845	-0.19946
485.885	-0.1993
485.8855	-0.19876
485.886	-0.19914
485.8865	-0.19904
485.887	-0.19826
485.8875	-0.19782
485.888	-0.1981
485.8885	-0.1971
485.889	-0.19768
485.8895	-0.1978
485.89	-0.19674
485.8905	-0.19655
485.891	-0.19707
485.8915	-0.19709
485.892	-0.19669
485.8925	-0.19637
485.893	-0.19638
485.8935	-0.19637
485.894	-0.19601
485.8945	-0.19585
485.895	-0.19555
485.8955	-0.19718
485.896	-0.19585
485.8965	-0.19604
485.897	-0.19602
485.8975	-0.19557
485.898	-0.19559
485.8985	-0.19585
485.899	-0.19599
485.8995	-0.19536
485.9	-0.19559
485.9005	-0.19568
485.901	-0.19564
485.9015	-0.19541
485.902	-0.19518
485.9025	-0.1948
485.903	-0.19429
485.9035	-0.19478
485.904	-0.19398
485.9045	-0.19511
485.905	-0.19443
485.9055	-0.19487
485.906	-0.19497
485.9065	-0.19469
485.907	-0.19492
485.9075	-0.19474
485.908	-0.19407
485.9085	-0.19484
485.909	-0.19465
485.9095	-0.19422
485.91	-0.19456
485.9105	-0.19441
485.911	-0.19439
485.9115	-0.19472
485.912	-0.19449
485.9125	-0.19405
485.913	-0.19399
485.9135	-0.19375
485.914	-0.19452
485.9145	-0.19403
485.915	-0.19443
485.9155	-0.1938
485.916	-0.19444
485.9165	-0.19396
485.917	-0.1943
485.9175	-0.19414
485.918	-0.19376
485.9185	-0.19376
485.919	-0.19424
485.9195	-0.19394
485.92	-0.19439
485.9205	-0.19435
485.921	-0.19383
485.9215	-0.1937
485.922	-0.19388
485.9225	-0.19407
485.923	-0.19399
485.9235	-0.1936
485.924	-0.19405
485.9245	-0.19355
485.925	-0.1938
485.9255	-0.19411
485.926	-0.19367
485.9265	-0.1936
485.927	-0.19341
485.9275	-0.19372
485.928	-0.19386
485.9285	-0.19356
485.929	-0.19355
485.9295	-0.19373
485.93	-0.19322
