A	B
433.787	-0.23118
433.7875	-0.2281
433.788	-0.22448
433.7885	-0.2245
433.789	-0.22283
433.7895	-0.21972
433.79	-0.21601
433.7905	-0.21565
433.791	-0.21512
433.7915	-0.21393
433.792	-0.21284
433.7925	-0.21041
433.793	-0.20988
433.7935	-0.20839
433.794	-0.20938
433.7945	-0.20594
433.795	-0.20533
433.7955	-0.20492
433.796	-0.20546
433.7965	-0.2043
433.797	-0.20358
433.7975	-0.204
433.798	-0.20228
433.7985	-0.20276
433.799	-0.20214
433.7995	-0.20128
433.8	-0.20052
433.8005	-0.20032
433.801	-0.2004
433.8015	-0.20038
433.802	-0.19926
433.8025	-0.19895
433.803	-0.19885
433.8035	-0.1995
433.804	-0.19913
433.8045	-0.19938
433.805	-0.19917
433.8055	-0.19849
433.806	-0.19901
433.8065	-0.19799
433.807	-0.19799
433.8075	-0.19795
433.808	-0.19916
433.8085	-0.19804
433.809	-0.19755
433.8095	-0.19716
433.81	-0.19705
433.8105	-0.19715
433.811	-0.19698
433.8115	-0.19652
433.812	-0.19669
433.8125	-0.19646
433.813	-0.19638
433.8135	-0.19582
433.814	-0.19728
433.8145	-0.19619
433.815	-0.19592
433.8155	-0.19543
433.816	-0.19581
433.8165	-0.19589
433.817	-0.1966
433.8175	-0.19611
433.818	-0.19486
433.8185	-0.19539
433.819	-0.19565
433.8195	-0.19565
433.82	-0.19583
433.8205	-0.19527
433.821	-0.19552
433.8215	-0.19541
433.822	-0.19499
433.8225	-0.19483
433.823	-0.19585
433.8235	-0.1956
433.824	-0.19523
433.8245	-0.19492
433.825	-0.19524
433.8255	-0.19484
433.826	-0.19474
433.8265	-0.19451
433.827	-0.19479
433.8275	-0.19489
433.828	-0.19451
433.8285	-0.19452
433.829	-0.19474
433.8295	-0.19423
433.83	-0.19476
433.8305	-0.19414
433.831	-0.19422
433.8315	-0.19436
433.832	-0.19459
433.8325	-0.19453
433.833	-0.19416
433.8335	-0.19408
433.834	-0.19446
433.8345	-0.19413
433.835	-0.19422
433.8355	-0.19382
433.836	-0.19473
433.8365	-0.1942
433.837	-0.19408
433.8375	-0.19411
433.838	-0.19389
433.8385	-0.1939
433.839	-0.19388
433.8395	-0.19371
433.84	-0.19397
433.8405	-0.19446
433.841	-0.19385
433.8415	-0.19395
433.842	-0.19373
433.8425	-0.1946
433.843	-0.19377
433.8435	-0.19407
433.844	-0.19398
433.8445	-0.19378
433.845	-0.19395
433.8455	-0.19348
433.846	-0.19373
433.8465	-0.19364
433.847	-0.19372
433.8475	-0.19361
433.848	-0.19335
433.8485	-0.19333
433.849	-0.19371
433.8495	-0.19369
433.85	-0.19366
433.8505	-0.19349
433.851	-0.19346
433.8515	-0.19329
433.852	-0.19388
433.8525	-0.19362
433.853	-0.19343
433.8535	-0.19328
433.854	-0.19382
433.8545	-0.1935
433.855	-0.1935
433.8555	-0.19374
433.856	-0.1933
433.8565	-0.19353
433.857	-0.19363
433.8575	-0.19339
433.858	-0.19378
433.8585	-0.19341
433.859	-0.19342
