A	B
409.8135	-0.19397
409.814	-0.19352
409.8145	-0.19346
409.815	-0.19353
409.8155	-0.19349
409.816	-0.19364
409.8165	-0.19371
409.817	-0.19377
409.8175	-0.19357
409.818	-0.19424
409.8185	-0.19406
409.819	-0.19367
409.8195	-0.19403
409.82	-0.19384
409.8205	-0.19355
409.821	-0.19405
409.8215	-0.19344
409.822	-0.19385
409.8225	-0.19393
409.823	-0.19382
409.8235	-0.19367
409.824	-0.19411
409.8245	-0.19394
409.825	-0.19414
409.8255	-0.19401
409.826	-0.19402
409.8265	-0.19394
409.827	-0.19435
409.8275	-0.19416
409.828	-0.19408
409.8285	-0.19389
409.829	-0.19358
409.8295	-0.19393
409.83	-0.19444
409.8305	-0.19488
409.831	-0.19464
409.8315	-0.19386
409.832	-0.19462
409.8325	-0.19427
409.833	-0.1946
409.8335	-0.19476
409.834	-0.19466
409.8345	-0.19449
409.835	-0.19482
409.8355	-0.19488
409.836	-0.19483
409.8365	-0.19573
409.837	-0.195
409.8375	-0.19474
409.838	-0.19492
409.8385	-0.19525
409.839	-0.19568
409.8395	-0.19565
409.84	-0.19576
409.8405	-0.19596
409.841	-0.1955
409.8415	-0.19626
409.842	-0.19625
409.8425	-0.19667
409.843	-0.1973
409.8435	-0.19699
409.844	-0.19683
409.8445	-0.19783
409.845	-0.19751
409.8455	-0.1979
409.846	-0.19766
409.8465	-0.19818
409.847	-0.1981
409.8475	-0.19773
409.848	-0.19991
409.8485	-0.19983
409.849	-0.19937
409.8495	-0.19924
409.85	-0.20121
409.8505	-0.20167
409.851	-0.2028
409.8515	-0.20251
409.852	-0.20348
409.8525	-0.20448
409.853	-0.20467
409.8535	-0.20519
409.854	-0.20704
409.8545	-0.2076
409.855	-0.20854
409.8555	-0.209
409.856	-0.20876
409.8565	-0.21398
409.857	-0.21333
409.8575	-0.21608
409.858	-0.21807
409.8585	-0.21945
409.859	-0.2203
409.8595	-0.22128
409.86	-0.22455
409.8605	-0.23075
409.861	-0.22939
409.8615	-0.23181
409.862	-0.23445
409.8625	-0.23769
409.863	-0.24488
409.8635	-0.24531
409.864	-0.25209
409.8645	-0.25463
409.865	-0.2567
409.8655	-0.26286
409.866	-0.26576
409.8665	-0.27169
409.867	-0.28089
409.8675	-0.28063
409.868	-0.28666
409.8685	-0.29185
409.869	-0.29962
409.8695	-0.29989
409.87	-0.31557
409.8705	-0.31567
409.871	-0.32306
409.8715	-0.32346
409.872	-0.3376
409.8725	-0.34387
409.873	-0.34361
409.8735	-0.35345
409.874	-0.34536
409.8745	-0.36062
409.875	-0.36665
409.8755	-0.36738
409.876	-0.37104
