	152.016	-2.796	-0.465	2.313	2.430	1.095
	153.016	-2.476	-0.801	1.656	2.430	1.102
	154.016	-2.200	-1.110	1.068	2.430	1.105
	155.016	-2.019	-1.298	0.696	2.430	1.103
	156.016	-1.849	-1.466	0.357	2.430	1.099
	157.016	-1.713	-1.600	0.087	2.430	1.096
	158.016	-1.572	-1.741	-0.196	2.430	1.096
	159.016	-1.440	-1.889	-0.478	2.430	1.100
	160.016	-1.274	-2.052	-0.809	2.430	1.104
	161.016	-1.053	-2.260	-1.238	2.430	1.105
	162.016	-0.741	-2.564	-1.858	2.430	1.101
	163.016	-0.406	-2.905	-2.536	2.430	1.096
	164.016	-0.355	-3.047	-2.729	2.430	1.125
	165.016	-0.355	-3.108	-2.791	2.430	1.146
	166.016	-0.354	-3.142	-2.825	2.430	1.151
	167.016	-0.353	-3.154	-2.838	2.430	1.144
	168.016	-0.353	-3.102	-2.786	2.430	1.119
	169.016	-0.691	-2.680	-2.023	2.430	1.100
	170.016	-0.843	-2.534	-1.725	2.430	1.103
	171.016	-1.108	-2.273	-1.196	2.430	1.107
	172.016	-1.345	-2.014	-0.698	2.430	1.107
	173.016	-1.521	-1.807	-0.314	2.430	1.104
	174.016	-1.686	-1.622	0.037	2.430	1.100
	175.016	-1.807	-1.496	0.286	2.430	1.099
	176.016	-1.919	-1.386	0.508	2.430	1.100
	177.016	-2.053	-1.260	0.769	2.430	1.102
	178.016	-2.245	-1.070	1.153	2.430	1.105
	179.016	-2.509	-0.822	1.667	2.430	1.105
	180.016	-2.787	-0.546	2.224	2.430	1.102
	181.016	-3.088	-0.218	2.856	2.430	1.098
	182.016	-3.200	-0.154	3.032	2.430	1.124
	183.016	-3.268	-0.151	3.102	2.430	1.144
	184.016	-3.299	-0.148	3.138	2.430	1.151
	185.016	-3.276	-0.145	3.117	2.430	1.145
	186.016	-3.206	-0.143	3.049	2.430	1.125
	187.016	-3.086	-0.188	2.883	2.430	1.098
	188.016	-2.770	-0.539	2.212	2.430	1.103
	189.016	-2.500	-0.837	1.643	2.430	1.108
	190.016	-2.231	-1.106	1.103	2.430	1.110
	191.016	-2.032	-1.309	0.699	2.430	1.108
	192.016	-1.870	-1.486	0.359	2.430	1.105
	193.016	-1.759	-1.604	0.129	2.430	1.103
	194.016	-1.650	-1.726	-0.103	2.430	1.103
	195.016	-1.515	-1.870	-0.383	2.430	1.104
	196.016	-1.343	-2.060	-0.747	2.430	1.107
	197.016	-1.151	-2.266	-1.146	2.430	1.109
	198.016	-0.900	-2.530	-1.662	2.430	1.109
	199.016	-0.623	-2.780	-2.191	2.430	1.105
	200.016	-0.355	-3.061	-2.743	2.430	1.111
	201.016	-0.355	-3.123	-2.805	2.430	1.138
	202.016	-0.354	-3.157	-2.840	2.430	1.153
	203.016	-0.354	-3.155	-2.838	2.430	1.155
	204.016	-0.353	-3.120	-2.804	2.430	1.145
	205.016	-0.352	-3.089	-2.773	2.430	1.121
	206.016	-0.445	-2.944	-2.535	2.430	0.010
	207.016	-0.807	-2.590	-1.817	2.430	0.010
	208.016	-1.085	-2.327	-1.274	2.430	0.264
	209.016	-1.345	-2.098	-0.783	2.430	0.352
	210.016	-1.527	-1.855	-0.356	2.430	0.417
	211.016	-1.685	-1.689	-0.029	2.430	0.471
	212.016	-1.781	-1.579	0.177	2.430	0.508
	213.016	-1.892	-1.460	0.408	2.430	0.547
	214.016	-2.029	-1.354	0.651	2.430	0.591
	215.016	-2.197	-1.185	0.990	2.430	0.649
	216.016	-2.376	-0.999	1.357	2.430	1.112
	217.016	-2.608	-0.754	1.835	2.430	1.112
