#A	#B
656.288	-0.1931
656.2885	-0.19305
656.289	-0.19307
656.2895	-0.19314
656.29	-0.19308
656.2905	-0.19284
656.291	-0.193
656.2915	-0.193
656.292	-0.19297
656.2925	-0.19281
656.293	-0.19286
656.2935	-0.19275
656.294	-0.19277
656.2945	-0.19277
656.295	-0.1931
656.2955	-0.19321
656.296	-0.19336
656.2965	-0.19289
656.297	-0.19298
656.2975	-0.19339
656.298	-0.19278
656.2985	-0.19306
656.299	-0.19302
656.2995	-0.19305
656.3	-0.19267
656.3005	-0.19293
656.301	-0.19301
656.3015	-0.19313
656.302	-0.19313
656.3025	-0.19299
656.303	-0.19289
656.3035	-0.19299
656.304	-0.19288
656.3045	-0.19291
656.305	-0.19307
656.3055	-0.19292
656.306	-0.19346
656.3065	-0.19298
656.307	-0.19322
656.3075	-0.19292
656.308	-0.19275
656.3085	-0.19305
656.309	-0.19307
656.3095	-0.19278
656.31	-0.19269
656.3105	-0.19302
656.311	-0.193
656.3115	-0.19284
656.312	-0.19281
656.3125	-0.19312
656.313	-0.19345
656.3135	-0.19289
656.314	-0.19291
656.3145	-0.19333
656.315	-0.19309
656.3155	-0.19289
656.316	-0.19321
656.3165	-0.19281
656.317	-0.19308
656.3175	-0.19297
656.318	-0.19303
656.3185	-0.19292
656.319	-0.19302
656.3195	-0.19288
656.32	-0.19281
656.3205	-0.1933
656.321	-0.19296
656.3215	-0.19295
656.322	-0.19306
656.3225	-0.19314
656.323	-0.19286
656.3235	-0.19299
656.324	-0.19291
656.3245	-0.19277
656.325	-0.19285
656.3255	-0.19272
656.326	-0.19266
656.3265	-0.19284
656.327	-0.19318
656.3275	-0.19277
656.328	-0.19279
656.3285	-0.1929
656.329	-0.19272
656.3295	-0.19279
656.33	-0.19298
656.3305	-0.19275
656.331	-0.19266
656.3315	-0.19325
656.332	-0.19283
656.3325	-0.19278
656.333	-0.19324
656.3335	-0.19289
656.334	-0.19276
656.3345	-0.19332
656.335	-0.19282
656.3355	-0.19311
656.336	-0.19315
656.3365	-0.19275
656.337	-0.19302
656.3375	-0.19272
656.338	-0.19276
656.3385	-0.19313
656.339	-0.19308
656.3395	-0.19302
656.34	-0.19273
656.3405	-0.19308
656.341	-0.19295
656.3415	-0.19282
656.342	-0.19277
656.3425	-0.19276
656.343	-0.19275
656.3435	-0.19317
656.344	-0.19283
656.3445	-0.19292
656.345	-0.19283
656.3455	-0.19301
656.346	-0.19277
656.3465	-0.19298
656.347	-0.19277
656.3475	-0.19274
656.348	-0.19287
656.3485	-0.19283
656.349	-0.1929
656.3495	-0.19297
656.35	-0.19279
656.3505	-0.19264
656.351	-0.19307
656.3515	-0.19279
656.352	-0.19284
656.3525	-0.19275
656.353	-0.193
656.3535	-0.19281
656.354	-0.19279
656.3545	-0.19292
656.355	-0.19289
656.3555	-0.19275
656.356	-0.19298
656.3565	-0.19308
656.357	-0.19314
656.3575	-0.19287
656.358	-0.19269
656.3585	-0.19281
656.359	-0.19279
656.3595	-0.19295
656.36	-0.19268
656.3605	-0.19275
656.361	-0.1926
656.3615	-0.19278
656.362	-0.19288
656.3625	-0.19263
656.363	-0.19295
656.3635	-0.19292
656.364	-0.19285
656.3645	-0.19269
656.365	-0.19296
656.3655	-0.19288
656.366	-0.19296
